Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details,popularity_score,google_trends_score
AutoLex,"AutoLex provides AI-powered solutions for contract review and legal document management, utilizing generative AI to enhance legal review processes.",AutoLex AI,"AutoLex AI is a generative AI tool designed to automate and enhance the review and management of legal documents, including contract compliance analysis and clause generation.",Contracting & Document Automation,"Contract review,compliance analysis,and clause generation",Automates and accelerates the review and compliance analysis of legal documents.,Corporate legal; Private practice,Advanced,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,,Yes,,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.autolex.ai/en,,43.0,28.296296296296298
Autologyx,Autologyx empowers innovative businesses to improve efficiency and profitability with AI workflow orchestration.,Autologyx Platform,A platform that provides AI workflow orchestration to improve efficiency and profitability.,"Matter, Workflow & Intake Management","Matter Management,Contract Remediation & Repapering,Document Automation",Streamline inefficient processes leveraging data-driven workflow and process automation.,Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; AI Integration / Orchestration Layer,,,,,,Cloud (SaaS),Corporate,,"1 Chancery Lane, London WC2A 1LF, UK","1 Chancery Lane, London WC2A 1LF, UK",,ISO 27001,,,,,https://autologyx.com,"Email: hello@autologyx.com, UK tel: +44 204 566 9619, US tel: +1 (512) 649 2826",49.0,1.851851851851852
Avantia,"Avantia is a global law firm that combines AI-powered efficiency with seasoned legal expertise to deliver legal, compliance, and fund solutions for asset managers.",Ava,"Ava is Avantia's proprietary AI agent platform that combines AI-powered efficiency with legal expertise to deliver faster, more precise, and cost-effective legal solutions.","Compliance, Risk & Governance","Transaction compliance,KYC,and fund solutions",Automating routine legal tasks and enhancing compliance efficiency for asset managers.,Corporate legal; Compliance & Risk Teams,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Domain-Specific or Proprietary AI Engines,,Subscription (SaaS),,Growing Adoption,Moderate,Cloud (SaaS),Financial Services,English only,"New York, NY, USA","New York, NY, USA; London, UK",,,,,,,https://www.avantialaw.com,"info@avantialaw.com, +44 (0) 20 3984 8080",83.0,74.74074074074075
Avokaado,"Avokaado is a contract intelligence platform that automates contract workflows, extracts critical data, and provides real-time oversight across the entire contract lifecycle.",Avokaado,"Avokaado is a contract intelligence platform that turns every document into structured data, helping legal and business teams create, manage, and analyze contracts in one secure workspace.",Contracting & Document Automation,"Contract intelligence,automation,and management","Automates contract workflows, extracts critical data, and provides real-time oversight across the contract lifecycle.",Corporate legal; Legal Operations Professionals; Contract Management Teams / Procurement,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics,Europe / UK,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,GDPR Compliance (EU),,"Customers appreciate the platform's ability to automate contracts, save time, and reduce errors.",,https://avokaado.io,,72.0,46.68518518518518
Avvoka,"Avvoka is a no-code document automation platform that offers tools for document creation, live contract editing, and integrations with various systems. It is designed to streamline legal document processes with features like clause libraries, workflows, and e-signature capabilities.",Avvoka,"Avvoka is a no-code document automation platform that allows users to create, edit, and manage legal documents efficiently. It includes features like a template builder, clause library, live contract editor, and integrations with e-signature platforms.",Contracting & Document Automation,"Document creation,clause management,and e-signature integration",Streamlining the creation and management of legal documents through automation and integration.,Corporate legal; Private practice,Advanced,Europe (UK & EU); United States; Australia,Yes,Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,Subscription (SaaS),,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,"London, England","London, England; Singapore",AWS,ISO 27001,GDPR Compliance (EU),,Avvoka is praised for its efficiency in document automation and exceptional customer support.,,https://avvoka.com,'+44 (0) 203 519 2237,75.0,2.555555555555556
Axsar,,Axsar CLM,"Contracts Management (CLM) solution for SMEs, powered by Gen AI.",Contracting & Document Automation,,,Corporate legal,Advanced,,Yes,Conversational / Copilot Layer,,,,,,Cloud (SaaS),Corporate,,,,,,,,,,https://www.axsar.com,,40.5,3.240740740740741
Beagle,"Beagle is an AI-native eDiscovery platform that speeds up document review, surfaces key info quickly, organizes findings, and provides insights.",Beagle Platform,"Beagle is an AI-native eDiscovery platform that speeds up document review, surfaces key info quickly, organizes findings, and provides insights.","Litigation, Disputes & Investigations",,Speeds up document review and provides insights.,,Advanced,,Yes,,,,,,,,Other / Not Specified,,,,,,SOC 2 (Type I or II),,,,https://discoverbeagle.com,,40.5,71.16666666666667
Betty Blocks,"Betty Blocks is an AI-based low-code platform that enables IT to deliver secure, governed, and custom apps quickly and efficiently.",Betty Blocks,"Betty Blocks is a low-code platform that allows for rapid application development with AI-driven features, enabling secure and governed app creation.",Integration & Platform Infrastructure,Low-code platform for rapid application development and integration.,"Enables rapid development and deployment of secure, governed applications.",Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,,Yes,Conversational / Copilot Layer; AI Integration / Orchestration Layer,Multi-Region / Distributed Cloud,Subscription (SaaS),Yes,Growing Adoption,Moderate,Hybrid,Corporate,,,,,ISO 27001,SOC 2 (Type I or II),,,,https://www.bettyblocks.com,,74.0,30.83333333333333
Bigle,"Bigle is an all-in-one platform offering a suite of products including Contract Lifecycle Management (CLM) software, a generative AI assistant, electronic signature, and an e-learning platform.",Bigle CLM,"Bigle CLM is a Contract Lifecycle Management software that improves legal operations by eliminating legal contingencies, reducing risks, and enhancing compliance.",Contracting & Document Automation,Contract Lifecycle Management,"Eliminates legal contingencies, reduces risks, and enhances compliance in contract management.",Corporate legal,Advanced,,Yes,Conversational / Copilot Layer,,,,Growing Adoption,,Cloud (SaaS),Corporate,,,,,ISO 27001,,,"Positive feedback on security, automation, and efficiency from various industry professionals.",,https://www.biglelegal.com,Contact form available on the website.,68.0,23.14814814814815
Billables AI,"Billables AI provides AI-powered legal time tracking solutions designed to manage billable hours automatically for lawyers, consultants, and professional services.",Billables AI,"AI-powered tool for legal time tracking that automates the management of billable hours, integrates with work tools, and generates time entries with clients, matters, and narrative descriptions.",AI Legal Assistants & Productivity Tools,Time tracking and billing automation,Automates time tracking and billing to capture more billable hours and streamline workflow.,Corporate legal; Private practice; Legal Operations Professionals,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Per Seat / License,Yes,Growing Adoption,Easy,Cloud (SaaS),Professional Services,English only,San Francisco,,,,,,Positive reviews highlighting increased billable time capture and streamlined workflow.,,https://billables.ai,,69.0,2.833333333333333
BlackBoiler,"BlackBoiler is a legal technology company that creates contract efficiency solutions for companies, law firms, and legal service providers. Through proprietary Deep Learning and Natural Language Processing technologies, BlackBoiler's AI-Assisted Contract Review is the first product to instantaneously review and revise contracts right in Track Changes, just like an attorney.",BlackBoiler,"BlackBoiler's AI-Assisted Contract Review is the first product to instantaneously review and revise contracts right in Track Changes, just like an attorney. This enables companies, law firms, and legal services providers to leverage historical contract review work to review and redline future inbound documents in a fraction of the time.",Contracting & Document Automation,AI-Assisted Contract Review,"Enables companies, law firms, and legal services providers to leverage historical contract review work to review and redline future inbound documents in a fraction of the time.",Corporate legal; Private practice; Alternative Legal Service Providers (ALSPs),Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,,,Other / Not Specified,English only,"Arlington, VA",,,,,,,,https://www.blackboiler.com/,,42.5,1.9074074074074077
Blee,Blee is an enterprise-grade AI marketing compliance platform that helps companies across industries review and approve marketing content faster while reducing risk.,Blee,"Blee is an AI-driven platform for reviewing and approving marketing content, integrating with existing workflows to streamline compliance processes.","Compliance, Risk & Governance",Marketing compliance and risk management,Accelerates the review and approval process of marketing content while ensuring compliance with regulatory standards.,Corporate legal; Compliance & Risk Teams,Enterprise-grade,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Enterprise Custom Quote,,Enterprise-grade,Complex,Cloud (SaaS),Corporate,English only,"169 Madison Ave Ste #11167 New York, NY 10016",,,,,,,,https://www.blee.com,"169 Madison Ave Ste #11167 New York, NY 10016",53.0,58.03703703703704
Boutiq AI,"Boutiq AI combines powerful software with practical consulting for modern legal departments to increase efficiency, reduce risks, and avoid silos.",Boutiq AI Platform,"Boutiq AI is a customizable Legal Tech platform with tailored consulting, automating documents, workflows, and knowledge management.",Contracting & Document Automation,"Document generation,file management,knowledge management","Increases efficiency, reduces risks, and avoids silos in legal departments.",Corporate legal; Private practice,Enterprise-grade,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics; Domain-Specific or Proprietary AI Engines,Europe / UK,,Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English + Limited Other Languages,"München, Germany","München, Germany",,,GDPR Compliance (EU),,,,https://www.boutiqai.com/en,"mail@boutiqai.com, Tal 44 | 80331 München",77.0,7.703703703703703
Braithwate Ltd,"Braithwate Ltd is a specialist advisor in financial services, developing and maintaining RegPass, an AI-powered platform for regulatory compliance.",RegPass,"RegPass is a next-generation AI-powered platform designed specifically for regulated financial services firms, providing comprehensive regulatory insights and compliance solutions.","Compliance, Risk & Governance",Regulatory compliance for financial services,"Provides clear, actionable compliance insights and keeps businesses up-to-date with evolving regulations.",Compliance & Risk Teams,Enterprise-grade,United Kingdom; North America (US & Canada); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,,,,,Cloud (SaaS),Financial Services,English only,"36 Spital Square, 3rd Floor, London, E1 6DY, United Kingdom","London, New York, Singapore",,,,,,,https://regpass.io,info@braithwate.com,55.5,1.851851851851852
BriefBox,"BriefBox is a comprehensive enterprise legal management system designed for General Counsels and legal service providers, offering a suite of apps to streamline legal work, improve efficiency and demonstrate value.",BriefBox,"BriefBox provides transparency across the full spectrum of legal work, enabling faster and better-informed decisions based on data. It is a single tool to solve common legal industry pain points for General Counsels.","Matter, Workflow & Intake Management","Intake and matter management,vendor management,workflow automation","Streamlines legal work, improves efficiency, and demonstrates value for legal teams.",Corporate legal; Private practice,Advanced,,Yes,Domain-Specific or Proprietary AI Engines,,Enterprise Custom Quote,Yes,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://briefbox.com,,69.0,17.40740740740741
BriefCatch,"BriefCatch is a tool that helps transform drafts into first-rate filings, reducing editing time and improving productivity. It is trusted by top firms and enhances document quality.",BriefCatch,"BriefCatch refines documents, improves writing, and boosts productivity by reducing editing time and catching errors in MS Word.",AI Legal Assistants & Productivity Tools,Document editing and error detection in legal writing,Reduces editing time and improves the quality of legal documents by catching errors and providing writing suggestions.,Private practice; Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,Mainstream / Proven,,Desktop / Local Application,Professional Services,English only,,,,,SOC 2 (Type I or II),,BriefCatch is praised for improving writing quality and reducing editing time.,,https://briefcatch.com,,76.5,2.7777777777777777
BRYTER,"BRYTER is an AI productivity suite for legal work, made actionable through rule-based workflows.",BRYTER,"BRYTER is an AI and no-code platform built for Legal and Compliance, offering workflows to solve specific legal tasks end-to-end.",AI Legal Assistants & Productivity Tools,"Document automation,compliance workflows,and AI-based data extraction.","Automates legal processes end-to-end, enhancing efficiency and reducing errors in legal and compliance tasks.",Corporate legal; Private practice; Compliance & Risk Teams,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Enterprise Custom Quote,Yes,Growing Adoption,Moderate,Cloud (SaaS),Corporate,,,,,,,,,,https://bryter.com,,73.0,69.92592592592592
"CallidusAI, Inc.",CallidusAI is a comprehensive legal tech generative AI platform designed to streamline various legal processes and enhance efficiency for legal professionals.,CallidusAI,"CallidusAI is a legal AI platform offering solutions for legal research, drafting, contract comparison, AI discovery, and more, designed to enhance productivity and efficiency for legal professionals.",AI Legal Assistants & Productivity Tools,"Legal research,document drafting,contract comparison,AI discovery",Streamlines legal processes and enhances efficiency for legal professionals.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,Azure,,GDPR Compliance (EU),$51K-$100K,CallidusAI is praised for its productivity and efficiency enhancements in legal processes.,,https://callidusai.com,[email protected],74.0,0.0
CamoText LLC,CamoText provides offline anonymization software designed to protect data privacy by detecting and redacting sensitive text and metadata without using cloud storage or internet connectivity.,CamoText,"CamoText is an offline anonymization tool that uses NLP and custom algorithms to detect and redact sensitive information, ensuring compliance with privacy regulations like GDPR, CCPA, and HIPAA.","Compliance, Risk & Governance",Data anonymization and privacy compliance,"Protects data privacy by anonymizing sensitive information offline, ensuring compliance with privacy regulations.",Compliance & Risk Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,Customer-Hosted / Private Cloud,One-Time Purchase / Perpetual License,Yes,Emerging / New Entrant,Very Easy,Desktop / Local Application,Other / Not Specified,English only,,,,,GDPR Compliance (EU),,,,https://camotext.ai,,57.0,0.0
Canotera,Israeli startup revolutionizing legal decision-making with AI-powered case prediction.,Canotera,"AI software that predicts the outcome of legal cases, providing data-powered insights for dispute resolution.","Litigation, Disputes & Investigations",Case prediction and dispute resolution,"Provides predictive clarity for legal case outcomes, enabling faster and more confident decision-making.",Corporate legal; Private practice,Experimental / early stage,,Yes,Predictive / Machine Learning (ML) Platforms,,Enterprise Custom Quote,Yes,Emerging / New Entrant,Complex,Cloud (SaaS),Other / Not Specified,,Israel,,,ISO 27001,,,,,https://canotera.com,,42.0,0.0
CarefulAI,,PriorArtAI,IP Protection in the Age of AI-Driven Innovation,"Intellectual Property, Technology & Data",,IP Protection in the Age of AI-Driven Innovation,,,,Yes,,,,,,,,Other / Not Specified,,,,,,,,,,https://www.carefulai.com,,19.0,1.851851851851852
Case Compass,"Case Compass is a smart-intake platform built exclusively for high-volume plaintiff firms, designed to turn inquiries into qualified leads and signed retainers with speed and precision.",Case Compass,Case Compass is a smart-intake platform that automates client qualification and enhances efficiency by generating documents and executing e-signatures.,"Matter, Workflow & Intake Management",Smart-intake for plaintiff firms,Automates client qualification and enhances efficiency in converting inquiries into qualified leads and signed retainers.,Private practice,,,Yes,,,,Yes,Growing Adoption,,Cloud (SaaS),Other / Not Specified,,,,,,,,,,https://www.casecompass.io,,46.0,38.407407407407405
CaseFox Inc.,"CaseFox is a cloud-based software designed to help attorneys, accountants, consultants, and other professionals with timekeeping, billing, invoicing, trust accounting, case note and document management, client management, tracking billable/non-billable time, expenses, payments, etc.",CaseFox,"CaseFox is a cloud-based software designed to help attorneys, accountants, consultants, and other professionals with timekeeping, billing, invoicing, trust accounting, case note and document management, client management, tracking billable/non-billable time, expenses, payments, etc.","Matter, Workflow & Intake Management","Timekeeping,billing,invoicing,trust accounting,case note and document management","Simplifies timekeeping, billing, and case management for legal professionals.",Corporate legal; Private practice,,,No,,,Subscription (SaaS),Yes,,Very Easy,Cloud (SaaS),Other / Not Specified,English only,,,,,,,,,https://casefox.com,,8.0,0.0
CaseMark,CaseMark provides AI-powered legal document summaries to enhance legal efficiency.,CaseMark,AI-powered platform delivering concise summaries of complex legal texts.,"Litigation, Disputes & Investigations",Legal document summaries across the litigation lifecycle.,Provides concise summaries of legal documents to streamline legal processes.,Litigation / Disputes Teams; Court reporting and legal tech,Advanced,,Yes,Large Language Model (LLM) Platforms,,,Yes,Growing Adoption,,Cloud (SaaS),Other / Not Specified,,,,,,,,,,https://www.casemark.com,,67.0,2.6296296296296298
Casepal,"Casepal is an enterprise-grade AI ecosystem designed for law firms and in-house legal teams, providing tools for legal problem-solving, drafting, review, and translations.",Casepal,"Casepal is a complete enterprise-grade AI ecosystem for legal professionals, offering tools for drafting, review, summarization, simplification, email, and translation.",AI Legal Assistants & Productivity Tools,"Drafting,review,summarization,and translation tools for legal professionals.","Enhances legal workflows by providing AI tools for drafting, review, and translation, saving time and improving efficiency.",Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,,Cloud (SaaS),Corporate,English + Limited Other Languages,,,,,,,"Casepal has been described as a helpful tool for daily legal practice, impacting workflows positively and providing direct paths to legal solutions.",,https://www.casepal.co,,48.0,0.0
Caseway,"Caseway provides AI-driven legal research assistance, offering instant legal insights for law firms and non-lawyers.",Caseway,"Caseway is an AI-driven legal research assistant that provides instant research, document review, and creation for legal professionals and non-lawyers.",Legal Research & Insights,AI-driven legal research and document review,"Provides instant legal insights and research, reducing time and errors in legal processes.",Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,<$10K,Positive reviews from legal professionals highlighting time savings and efficiency.,,https://caseway.ai,Email: [email protected],69.0,49.7962962962963
Catylex,Catylex is a contract analytics solution designed to extract and optimize contract data using ensemble AI.,Catylex Contract Analytics,"Catylex Contract Analytics is a solution that uses AI to extract insights from legal contracts, identifying key terms and clauses.",Contracting & Document Automation,Contract data extraction and analysis,Extracting and analyzing contract data to optimize contract management processes.,Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Predictive / Machine Learning (ML) Platforms,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"520 White Plains Road Suite 500 Tarrytown, NY 10591",,,,,,Positive feedback on contract data quality and industry knowledge.,,https://www.catylex.com,"info@catylex.com, support@catylex.com",74.0,0.0
Cequence,"Cequence is a leader in AI-powered contract management, offering solutions to streamline workflows, automate tasks, and enhance compliance and analytics.",Cequence Contract Management Solution,"An AI-powered contract management solution that streamlines workflows, automates tasks, and enhances compliance and analytics.",Contracting & Document Automation,"Contract lifecycle management,obligation tracking,and analytics.","Streamlines contract management processes, automates tasks, and enhances compliance and analytics.",Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,Subscription (SaaS),,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,,,,,,,,,https://cequence.io,,73.0,48.92592592592592
GoCircl,,GoCircl,An application that empowers people to review and complete auditor circle-ups or similar tasks.,,,Facilitates the review and completion of auditor circle-ups.,,Experimental / early stage,Australia,No,,,,,Emerging / New Entrant,,Cloud (SaaS),Other / Not Specified,,"Queensland, Australia",,,,,,,,https://www.gocircl.app,,26.0,0.0
Clarilis,"Clarilis provides an industry-leading platform designed for complex legal documents, liberating lawyers from inefficient drafting.",Clarilis Platform,Clarilis is a legal document automation software that allows drafting of complex legal documents 90% faster using AI and LLMs.,Contracting & Document Automation,,Liberates lawyers from inefficient drafting by automating complex legal documents.,Corporate legal; Private practice,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms,,,Yes,Market Leader / Standard,,Cloud (SaaS),Other / Not Specified,,,,,,,,,,https://www.clarilis.com,,87.5,2.0185185185185186
Clearbrief,"Clearbrief provides AI-powered tools for legal professionals to enhance accuracy in legal documents, offering features like hyperlinked citations, fact-checking, and evidence review.",Clearbrief,"Clearbrief is an AI tool for legal professionals that provides hyperlinked citations, fact-checking, and evidence review to enhance legal document accuracy.","Litigation, Disputes & Investigations",AI-powered fact-checking and hyperlinked evidence for legal documents.,Enhances accuracy in legal documents by providing AI-powered fact-checking and hyperlinked citations.,Litigation / Disputes Teams; Corporate legal,Enterprise-grade,North America (US & Canada); Europe (UK & EU),Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,Growing Adoption,,Cloud (SaaS),Other / Not Specified,English only,,,,,SOC 2 (Type I or II),,Positive feedback from various legal professionals highlighting time savings and accuracy improvements.,,https://clearbrief.com,,80.0,15.537037037037036
Clearlaw Inc.,"Clearlaw provides AI-powered contract review and data extraction solutions, focusing on understanding the content and context of legal documents to empower corporate legal teams.",Clearlaw Contracting Intelligence AI,"Clearlaw's platform provides AI-powered contract review and data extraction, helping legal teams understand legal documents and obligations.",Contracting & Document Automation,Contract review and data extraction,"Provides a deep understanding of legal documents and obligations, reducing review times and improving risk analysis.",Corporate legal,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,Emerging / New Entrant,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.clearlaw.ai,"hello@clearlaw.ai, 949-466-4295",60.5,0.0
Coheso,Coheso is an AI-native legal front door and work management platform designed to automate in-house legal work from request to resolution.,Coheso,"Coheso automates in-house legal work from request to resolution, unifying intake, task management, and collaboration in a structured system.","Matter, Workflow & Intake Management",Legal front door and work management,"Automates in-house legal work from request to resolution, providing immediate answers to routine legal questions and drafting initial responses for complex issues.",Corporate legal; Compliance & Risk Teams,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Middle East,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,"135 Madison Ave, Fl 5, New York, NY 10016","135 Madison Ave, Fl 5, New York, NY 10016",,,SOC 2 (Type I or II),,,,https://www.coheso.ai,"contact@coheso.ai, +1 (646) 224-7390",80.0,1.851851851851852
Competition AI,"CompetitionAI is an AI platform built for antitrust lawyers at elite law firms, designed by a team of competition lawyers and AI engineers.",CompetitionAI,"An AI platform for antitrust lawyers, designed to accelerate work and focus on strategy by using AI agents trained on antitrust, competition, and foreign direct investment guidance.","Compliance, Risk & Governance",Antitrust and Foreign Direct Investment,"Accelerates work for antitrust lawyers, allowing more time for strategic activities.",Private practice,Advanced,,Yes,Predictive / Machine Learning (ML) Platforms,,,Yes,Growing Adoption,,Cloud (SaaS),Professional Services,,,,,,,,,,https://competitionlaw.ai,daniel@competitionlaw.ai,67.5,37.0925925925926
Contractify,"Contractify provides smart contract management software that helps organizations manage contracts efficiently with features like AI-powered contract analysis, digital signatures, and automated reminders.",Contractify,"Contractify is a contract management software that uses AI to analyze and digitize contracts, providing features like automated reminders, digital signatures, and contract summaries.",Contracting & Document Automation,"Contract management,AI contract analysis,digital signatures","Streamlines contract management by automating contract analysis, reminders, and digital signatures to reduce risks and maximize contract value.",Corporate legal; Contract Management Teams / Procurement,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics,Europe / UK,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Polenstraat 163, 9940 Sleidinge, Belgium","Polenstraat 163, 9940 Sleidinge, Belgium; Molenweg 107, B-2830 Willebroek, Belgium; Stadionstraat 27, 4815 NC Breda, Netherlands",,,,,"Positive reviews highlighting peace of mind, ease of use, and outstanding support.",,https://www.contractify.io,"Polenstraat 163, 9940 Sleidinge, Belgium; Molenweg 107, B-2830 Willebroek, Belgium; Stadionstraat 27, 4815 NC Breda, Netherlands",72.0,2.259259259259259
ContractKen,"ContractKen provides AI-powered solutions for contract drafting and review, integrating with Microsoft Word to enhance legal expertise through playbooks, clause libraries, and precedent-based drafting.",Word Copilot,"Word Copilot is an AI-powered tool for contract drafting and review, featuring clause libraries, playbooks, and precedent-based drafting within Microsoft Word.",Contracting & Document Automation,"Contract drafting and review,clause management,precedent-based drafting","Enhances contract drafting and review efficiency by integrating AI with Microsoft Word, allowing for faster and more accurate contract management.",Corporate legal; Contract Management Teams / Procurement,Advanced,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.contractken.com,,68.5,0.0
ContractSafe,"ContractSafe provides easy and affordable AI-powered contract management software for companies of all sizes, offering features like contract repository, smart search, and integrations with other tools.",ContractSafe,"ContractSafe is a contract management software that offers AI-powered search, contract repository, user roles and permissions, and integrations with other tools.",Contracting & Document Automation,"Contract repository,smart search,user roles and permissions","Simplifies contract management by providing a centralized repository, AI-powered search, and automated notifications.",Corporate legal; Small Business,Advanced,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Other / Not Specified,English only,"Malibu, CA, USA",,,,HIPAA Compliance (US),,Positive reviews highlighting ease of use and effective contract management.,,https://www.contractsafe.com,"23823 Malibu Road, Suite 50-197 Malibu, CA 90265",72.0,12.537037037037036
ContractZen,"ContractZen is a cloud-based governance platform offering solutions for contract management, board portal, entity management, and virtual data rooms, powered by AI.",ContractZen,"ContractZen is a cloud-based platform that unifies contract management, board portal, entity management, and virtual data rooms with AI-powered features.",Corporate Governance & Entity Management,"Contract management,board portal,entity management,virtual data rooms","Streamlines governance processes, reduces administrative costs, and enhances compliance and legal oversight.",Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,Multi-Region / Distributed Cloud,Subscription (SaaS),Yes,Growing Adoption,Very Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Helsinki, Finland","Helsinki, Finland; Palo Alto, USA",Azure,ISO 27001; ISO 27018,SOC 2 (Type I or II),,"Positive reviews from companies like RELEX Solutions, SIGG, and Kiron Interactive.",,https://www.contractzen.com,"Eteläesplanadi 2, 00130 Helsinki, Finland; 470 Ramona Street, Palo Alto CA 94301, USA",74.0,2.259259259259259
Contractzy,"AI-powered Contract Lifecycle Management Software offering smarter contracting solutions with features like AI Risk Analysis, Contract Summary, and Data Extraction.",CORA AI,"AI-powered contract automation and risk review assistant that highlights risky clauses, generates contract summaries, and extracts key details with high accuracy.",Contracting & Document Automation,"Contract Lifecycle Management,Risk Analysis,Contract Summary,Data Extraction","Streamlines contract management by automating drafting, negotiation, signing, and tracking, while ensuring compliance and reducing risk.",Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Computer Vision & Document Recognition,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"1151 Walker Road, Suite 535, Dover, Delaware – 19904, USA",,,,,,Positive feedback on contract management efficiency and customer support.,,https://www.contractzy.io,"1151 Walker Road, Suite 535, Dover, Delaware – 19904, USA",74.0,1.851851851851852
Corpora,"Corpora provides a platform for filing 83(b) elections, offering services for both individuals and corporate clients with features like bulk drafting, automated reminders, and secure record-keeping.",83(b) Election,"A service to file 83(b) elections with the IRS, offering features like electronic signing, tracking, and secure storage.","Compliance, Risk & Governance",Tax document filing,"Simplifies the process of filing 83(b) elections with the IRS, reducing errors and ensuring timely submission.",Corporate legal; Private practice,,North America (US & Canada),No,,United States,Tiered / Plan-Based,Yes,Growing Adoption,Very Easy,Cloud (SaaS),Corporate,English only,"2261 Market Street, Suite 22005 San Francisco, CA 94114 United States",,,,SOC 2 (Type I or II),<$10K,Highly positive reviews highlighting ease of use and reliability.,,https://corpora.us,"2261 Market Street, Suite 22005 San Francisco, CA 94114 United States",37.0,62.25925925925926
