Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
AI.Law,"AI.Law provides AI-driven tools for litigation teams, including document generation, discovery requests, and medical record analysis.",AI.Law,"AI.Law offers AI-driven tools for creating litigation documents, including complaints, answers, and discovery requests, tailored to jurisdictional requirements.","Litigation, Disputes & Investigations","Document generation,discovery automation,and medical record analysis.",Reduces time and effort in drafting litigation documents and managing discovery processes.,Litigation / Disputes Teams; Corporate legal; Government / Public Sector,Enterprise-grade,North America (US & Canada),Yes,Domain-Specific or Proprietary AI Engines,United States,Enterprise Custom Quote,Yes,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,"Dublin, OH, USA","Dublin, OH, USA",Google Cloud,,SOC 2 (Type I or II),,AI.Law has significantly reduced time spent on document drafting and increased efficiency.,,https://www.ai.law,"Enterprise Sales: (614) 974-2834, 485 Metro Place S. #300 Dublin, OH 43017"
Alexi,"Alexi is a legal AI platform that supports every aspect of legal work, from research and drafting to document review and decision-making, with a focus on security and firm control.",Alexi,"Alexi is an intuitive, simple platform that supports every aspect of legal work, from research and drafting to document review and everyday decision-making.",AI Legal Assistants & Productivity Tools,"Research,drafting,document review,decision-making","Standardizes quality, accelerates research, and improves decision-making in legal work.",Corporate legal; Private practice,Enterprise-grade,,Yes,Conversational / Copilot Layer; Domain-Specific or Proprietary AI Engines,Customer-Hosted / Private Cloud,,Yes,Growing Adoption,,Private Cloud,Corporate,English only,,,,,SOC 2 (Type I or II),,Positive feedback on efficiency and access to justice.,,https://www.alexi.com,
AlphaSense,"AlphaSense provides an enterprise-grade platform designed for financial and business professionals, offering AI-powered insights and research tools.",AlphaSense Platform,"The AlphaSense Platform offers features, tools, and workflows for financial and business professionals, integrating AI to provide real-time insights and streamline research workflows.",Legal Research & Insights,Streamline case preparation and strategy with legal research.,Provides AI-powered insights and research tools to streamline workflows and enhance decision-making for financial and business professionals.,Corporate legal; Private practice,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,Market Leader / Standard,,Cloud (SaaS),Financial Services,,,,,,,,,,https://www.alpha-sense.com,Contact Us page available on the website.
Altumatim,"Altumatim provides AI-powered solutions for legal investigations, leveraging super agents and a unique LLM OS to enhance data analysis and storytelling in legal contexts.",altumatimOS,"altumatimOS is an AI-powered platform that uses super agents to enhance legal investigations, providing tools for autonomous review, analysis, and data processing.","Litigation, Disputes & Investigations",AI-powered legal investigations and data analysis,Enhances legal investigations by providing AI-powered tools for data analysis and storytelling.,Litigation / Disputes Teams,Advanced,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,Yes,Emerging / New Entrant,,Cloud (SaaS),Corporate,,,,AWS,,SOC 2 (Type I or II),,,,https://www.altumatim.com,
"Amplified AI, Inc.","Amplified AI provides a platform for organizing global patent and scientific information, enabling users to research, document, and share technical intelligence.",Amplified,"Amplified is a platform that allows users to search, share, and collaborate on global patent data, with features like AI ranking, robust search, and project workflows.","Intellectual Property, Technology & Data",Patent data management and collaboration,Facilitates the organization and sharing of patent and scientific information to enhance research and collaboration.,Intellectual Property Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,,,Cloud (SaaS),Other / Not Specified,English only,,,,,,,"“Pretty darn impressive. Within 2 minutes I was getting results right on target. In fact, the interface is addictive like a well-designed game.”",,https://www.amplified.ai,
Amtolit Inc.,"Amtolit Inc. provides AI-powered tools and services to streamline accounting, legal, and tax needs for startups and freelancers, enabling them to focus on growth.",Amto,"Amto offers a suite of AI-powered tools for launching and growing businesses, including MVP launch, company formation, social media expansion, freelancing, tax monitoring, bookkeeping, global hiring, and contract management.","Compliance, Risk & Governance","Corporate compliance,IP protection,and contract management.","Streamlining back-office operations for startups, including legal, tax, and compliance needs.",Corporate legal; Compliance & Risk Teams,Advanced,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Emerging / New Entrant,Easy,Cloud (SaaS),Corporate,English only,USA & India,,,,,,Positive feedback from companies like Stockgro and Renderforest.,,https://amto.ai,
AndAI Inc.,"AndAI Inc. provides AI-powered solutions for patent teams, focusing on end-to-end due diligence and litigation workflows.",&AI,"AI-powered agent for patent work, providing tools for search, analysis, and drafting in patent workflows.","Intellectual Property, Technology & Data",Patent workflows and litigation support,Streamlining patent workflows and enhancing litigation success through AI-powered tools.,Intellectual Property Teams,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms,,,Yes,,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://tryandai.com,
Andri.ai,"Andri.ai provides agentic AI solutions for European law firms, offering tools for document analysis, strategic decision-making, and legal drafting.",Andri,"Andri is an AI platform that assists with legal document analysis, strategic decision-making, and legal drafting, providing real-time updates and simulations.",AI Legal Assistants & Productivity Tools,"Document analysis,strategic decision-making,legal drafting","Reduces research time, improves legal drafting, and provides strategic insights.",Private practice,Enterprise-grade,Europe (UK & EU),Yes,Conversational / Copilot Layer; Natural Language Processing (NLP) / Text Analytics,Europe / UK,Freemium / Free Trial,Yes,Emerging / New Entrant,Very Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Amsterdam, Netherlands","A'DAM Tower, 13 Floor, Overhoeksplein 1, 1031 KS Amsterdam",,ISO 27001,GDPR Compliance (EU),,,,https://www.andri.ai,+31202614478
Antidote Legal,"Antidote Legal provides AI-powered legal billing compliance solutions to automate guideline checks, correct time entries, and reclaim lost revenue for law firms.",Antidote,"Antidote is a legal billing compliance system that automates guideline checks, corrects time entries, and reclaims lost revenue, designed for law firms.","Compliance, Risk & Governance",Legal billing compliance,Automates billing compliance to prevent write-offs and reduce time spent on manual billing corrections.,Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,,Cloud (SaaS),Professional Services,English only,,,,,,,,,https://www.antidotelegal.com,
Anytime AI,"Anytime AI provides an all-in-one legal AI platform designed to streamline legal workflows, particularly for plaintiff lawyers, by automating tasks such as record review, document drafting, and case summarization.",Anytime AI,"A legal AI platform that automates manual tasks like record review, document drafting, and case summarization to help plaintiff attorneys reduce case preparation time and improve outcomes.",AI Legal Assistants & Productivity Tools,"Automates tasks such as record review,document drafting,and case summarization.",Reduces time and cost associated with case preparation by automating repetitive legal tasks.,Litigation / Disputes Teams,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://www.anytimeai.ai,
Apprvd,Apprvd is a contract platform with AI-enhanced features designed to streamline legal workflows for teams of all sizes.,Apprvd,"A contract platform with AI-enhanced features for creating, sending, and signing contracts, designed to streamline legal workflows.",Contracting & Document Automation,AI-assisted contract review and management,Streamlines contract workflows and reduces legal review cycles.,Corporate legal; Contract Management Teams / Procurement,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,,,,,,,,,,https://www.apprvd.co,
Arteria AI,"Arteria AI provides data-centric end-to-end Contract Lifecycle Management solutions powered by AI, turning contracts and other documents into searchable, structured information using Natural Language Processing.",Arteria AI,"Arteria AI provides AI-powered contract lifecycle management solutions, turning documents into structured data for automation and intelligence in business processes.",Contracting & Document Automation,Contract Lifecycle Management,Transforms contracts into structured data to enhance automation and intelligence in business processes.,Corporate legal; Financial Services,Enterprise-grade,North America (US & Canada); Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics,,,,Market Leader / Standard,,Cloud (SaaS),Financial Services,English only,"Toronto, Canada","Toronto, Canada; London, United Kingdom",,ISO 27001,SOC 2 (Type I or II),,,,https://www.arteria.ai,"152 King Street East, Suite 300, Toronto, ON M5A 1J3 Canada"
AssetDivide,"AssetDivide provides a platform for fair asset division using auctions with AI image recognition and customizable options for estate executors, mediators, and amicable divorces.",AssetDivide,"AssetDivide is a platform that facilitates fair asset division through auctions, utilizing AI image recognition and customizable options for transparency and fairness.","Compliance, Risk & Governance",Asset division and auction management,Facilitates fair and transparent asset division through auctions.,Corporate legal,Quick win,,Yes,Computer Vision & Document Recognition,,,,,,,Other / Not Specified,,,,,,,,,,https://assetdivide.com,
Atticus,"Atticus is a global technology company providing tools for verification, built for law firms and high-performing in-house legal teams, as well as financial institutions and corporate governance professionals.",Atticus,"Atticus is a verification tool that makes fact-checking quick, collaborative, and secure, designed for legal, corporate, and financial sectors.","Compliance, Risk & Governance",Verification and fact-checking for legal and financial documents.,"Streamlines the verification process for documents, saving time and ensuring accuracy.",Corporate legal; Private practice; Compliance & Risk Teams,,,No,,,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,,,,,,,,,,https://www.atticus.tech,
August,"August provides personalized legal AI solutions, helping firms unlock smarter, faster, and more efficient client solutions.",August,"August is a legal AI platform that helps firms unlock smarter, faster, and more efficient client solutions.",AI Legal Assistants & Productivity Tools,Document review and workflow automation,Enhances efficiency and effectiveness in legal processes through AI.,Corporate legal; Private practice,Advanced,Australia; Asia-Pacific (APAC); North America (US & Canada); Europe (UK & EU),Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://www.august.law,team@august.law
AutoLex,"AutoLex provides AI-powered solutions for contract review and legal document management, utilizing generative AI to enhance legal review processes.",AutoLex AI,"AutoLex AI is a generative AI tool designed to automate and enhance the review and management of legal documents, including contract compliance analysis and clause generation.",Contracting & Document Automation,"Contract review,compliance analysis,and clause generation",Automates and accelerates the review and compliance analysis of legal documents.,Corporate legal; Private practice,Advanced,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,,Yes,,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.autolex.ai/en,
Autologyx,Autologyx empowers innovative businesses to improve efficiency and profitability with AI workflow orchestration.,Autologyx Platform,A platform that provides AI workflow orchestration to improve efficiency and profitability.,"Matter, Workflow & Intake Management","Matter Management,Contract Remediation & Repapering,Document Automation",Streamline inefficient processes leveraging data-driven workflow and process automation.,Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; AI Integration / Orchestration Layer,,,,,,Cloud (SaaS),Corporate,,"1 Chancery Lane, London WC2A 1LF, UK","1 Chancery Lane, London WC2A 1LF, UK",,ISO 27001,,,,,https://autologyx.com,"Email: hello@autologyx.com, UK tel: +44 204 566 9619, US tel: +1 (512) 649 2826"
Avantia,"Avantia is a global law firm that combines AI-powered efficiency with seasoned legal expertise to deliver legal, compliance, and fund solutions for asset managers.",Ava,"Ava is Avantia's proprietary AI agent platform that combines AI-powered efficiency with legal expertise to deliver faster, more precise, and cost-effective legal solutions.","Compliance, Risk & Governance","Transaction compliance,KYC,and fund solutions",Automating routine legal tasks and enhancing compliance efficiency for asset managers.,Corporate legal; Compliance & Risk Teams,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Domain-Specific or Proprietary AI Engines,,Subscription (SaaS),,Growing Adoption,Moderate,Cloud (SaaS),Financial Services,English only,"New York, NY, USA","New York, NY, USA; London, UK",,,,,,,https://www.avantialaw.com,"info@avantialaw.com, +44 (0) 20 3984 8080"
Avokaado,"Avokaado is a contract intelligence platform that automates contract workflows, extracts critical data, and provides real-time oversight across the entire contract lifecycle.",Avokaado,"Avokaado is a contract intelligence platform that turns every document into structured data, helping legal and business teams create, manage, and analyze contracts in one secure workspace.",Contracting & Document Automation,"Contract intelligence,automation,and management","Automates contract workflows, extracts critical data, and provides real-time oversight across the contract lifecycle.",Corporate legal; Legal Operations Professionals; Contract Management Teams / Procurement,Advanced,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics,Europe / UK,,Yes,Growing Adoption,,Cloud (SaaS),Corporate,English only,,,,,GDPR Compliance (EU),,"Customers appreciate the platform's ability to automate contracts, save time, and reduce errors.",,https://avokaado.io,
Avvoka,"Avvoka is a no-code document automation platform that offers tools for document creation, live contract editing, and integrations with various systems. It is designed to streamline legal document processes with features like clause libraries, workflows, and e-signature capabilities.",Avvoka,"Avvoka is a no-code document automation platform that allows users to create, edit, and manage legal documents efficiently. It includes features like a template builder, clause library, live contract editor, and integrations with e-signature platforms.",Contracting & Document Automation,"Document creation,clause management,and e-signature integration",Streamlining the creation and management of legal documents through automation and integration.,Corporate legal; Private practice,Advanced,Europe (UK & EU); United States; Australia,Yes,Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,Subscription (SaaS),,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,"London, England","London, England; Singapore",AWS,ISO 27001,GDPR Compliance (EU),,Avvoka is praised for its efficiency in document automation and exceptional customer support.,,https://avvoka.com,'+44 (0) 203 519 2237
Axsar,,Axsar CLM,"Contracts Management (CLM) solution for SMEs, powered by Gen AI.",Contracting & Document Automation,,,Corporate legal,Advanced,,Yes,Conversational / Copilot Layer,,,,,,Cloud (SaaS),Corporate,,,,,,,,,,https://www.axsar.com,
Beagle,"Beagle is an AI-native eDiscovery platform that speeds up document review, surfaces key info quickly, organizes findings, and provides insights.",Beagle Platform,"Beagle is an AI-native eDiscovery platform that speeds up document review, surfaces key info quickly, organizes findings, and provides insights.","Litigation, Disputes & Investigations",,Speeds up document review and provides insights.,,Advanced,,Yes,,,,,,,,Other / Not Specified,,,,,,SOC 2 (Type I or II),,,,https://discoverbeagle.com,
Betty Blocks,"Betty Blocks is an AI-based low-code platform that enables IT to deliver secure, governed, and custom apps quickly and efficiently.",Betty Blocks,"Betty Blocks is a low-code platform that allows for rapid application development with AI-driven features, enabling secure and governed app creation.",Integration & Platform Infrastructure,Low-code platform for rapid application development and integration.,"Enables rapid development and deployment of secure, governed applications.",Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,,Yes,Conversational / Copilot Layer; AI Integration / Orchestration Layer,Multi-Region / Distributed Cloud,Subscription (SaaS),Yes,Growing Adoption,Moderate,Hybrid,Corporate,,,,,ISO 27001,SOC 2 (Type I or II),,,,https://www.bettyblocks.com,
"Bigle Iberia, S.L.","Bigle is an all-in-one platform offering a suite of products including Contract Lifecycle Management (CLM) software, a generative AI assistant, electronic signature, and an e-learning platform.",Bigle CLM,"Bigle CLM is a Contract Lifecycle Management software that improves legal operations by eliminating legal contingencies, reducing risks, and enhancing compliance.",Contracting & Document Automation,Contract Lifecycle Management,"Eliminates legal contingencies, reduces risks, and enhances compliance in contract management.",Corporate legal,Advanced,,Yes,Conversational / Copilot Layer,,,,Growing Adoption,,Cloud (SaaS),Corporate,,,,,ISO 27001,,,"Positive feedback on security, automation, and efficiency from various industry professionals.",,https://www.biglelegal.com,Contact form available on the website.
Billables AI,"Billables AI provides AI-powered legal time tracking solutions designed to manage billable hours automatically for lawyers, consultants, and professional services.",Billables AI,"AI-powered tool for legal time tracking that automates the management of billable hours, integrates with work tools, and generates time entries with clients, matters, and narrative descriptions.",AI Legal Assistants & Productivity Tools,Time tracking and billing automation,Automates time tracking and billing to capture more billable hours and streamline workflow.,Corporate legal; Private practice; Legal Operations Professionals,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Per Seat / License,Yes,Growing Adoption,Easy,Cloud (SaaS),Professional Services,English only,San Francisco,,,,,,Positive reviews highlighting increased billable time capture and streamlined workflow.,,https://billables.ai,
BlackBoiler,"BlackBoiler is a legal technology company that creates contract efficiency solutions for companies, law firms, and legal service providers. Through proprietary Deep Learning and Natural Language Processing technologies, BlackBoiler's AI-Assisted Contract Review is the first product to instantaneously review and revise contracts right in Track Changes, just like an attorney.",BlackBoiler,"BlackBoiler's AI-Assisted Contract Review is the first product to instantaneously review and revise contracts right in Track Changes, just like an attorney. This enables companies, law firms, and legal services providers to leverage historical contract review work to review and redline future inbound documents in a fraction of the time.",Contracting & Document Automation,AI-Assisted Contract Review,"Enables companies, law firms, and legal services providers to leverage historical contract review work to review and redline future inbound documents in a fraction of the time.",Corporate legal; Private practice; Alternative Legal Service Providers (ALSPs),Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,,,Other / Not Specified,English only,"Arlington, VA",,,,,,,,https://www.blackboiler.com/,
Blee,Blee is an enterprise-grade AI marketing compliance platform that helps companies across industries review and approve marketing content faster while reducing risk.,Blee,"Blee is an AI-driven platform for reviewing and approving marketing content, integrating with existing workflows to streamline compliance processes.","Compliance, Risk & Governance",Marketing compliance and risk management,Accelerates the review and approval process of marketing content while ensuring compliance with regulatory standards.,Corporate legal; Compliance & Risk Teams,Enterprise-grade,North America (US & Canada),Yes,Natural Language Processing (NLP) / Text Analytics,,Enterprise Custom Quote,,Enterprise-grade,Complex,Cloud (SaaS),Corporate,English only,"169 Madison Ave Ste #11167 New York, NY 10016",,,,,,,,https://www.blee.com,"169 Madison Ave Ste #11167 New York, NY 10016"
Boutiq AI,"Boutiq AI combines powerful software with practical consulting for modern legal departments to increase efficiency, reduce risks, and avoid silos.",Boutiq AI Platform,"Boutiq AI is a customizable Legal Tech platform with tailored consulting, automating documents, workflows, and knowledge management.",Contracting & Document Automation,"Document generation,file management,knowledge management","Increases efficiency, reduces risks, and avoids silos in legal departments.",Corporate legal; Private practice,Enterprise-grade,Europe (UK & EU),Yes,Natural Language Processing (NLP) / Text Analytics; Domain-Specific or Proprietary AI Engines,Europe / UK,,Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English + Limited Other Languages,"München, Germany","München, Germany",,,GDPR Compliance (EU),,,,https://www.boutiqai.com/en,"mail@boutiqai.com, Tal 44 | 80331 München"
Braithwate Ltd,"Braithwate Ltd is a specialist advisor in financial services, developing and maintaining RegPass, an AI-powered platform for regulatory compliance.",RegPass,"RegPass is a next-generation AI-powered platform designed specifically for regulated financial services firms, providing comprehensive regulatory insights and compliance solutions.","Compliance, Risk & Governance",Regulatory compliance for financial services,"Provides clear, actionable compliance insights and keeps businesses up-to-date with evolving regulations.",Compliance & Risk Teams,Enterprise-grade,United Kingdom; North America (US & Canada); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,,,,,Cloud (SaaS),Financial Services,English only,"36 Spital Square, 3rd Floor, London, E1 6DY, United Kingdom","London, New York, Singapore",,,,,,,https://regpass.io,info@braithwate.com
BriefBox,"BriefBox is a comprehensive enterprise legal management system designed for General Counsels and legal service providers, offering a suite of apps to streamline legal work, improve efficiency and demonstrate value.",BriefBox,"BriefBox provides transparency across the full spectrum of legal work, enabling faster and better-informed decisions based on data. It is a single tool to solve common legal industry pain points for General Counsels.","Matter, Workflow & Intake Management","Intake and matter management,vendor management,workflow automation","Streamlines legal work, improves efficiency, and demonstrates value for legal teams.",Corporate legal; Private practice,Advanced,,Yes,Domain-Specific or Proprietary AI Engines,,Enterprise Custom Quote,Yes,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,,,,,SOC 2 (Type I or II),,,,https://briefbox.com,
BriefCatch,"BriefCatch is a tool that helps transform drafts into first-rate filings, reducing editing time and improving productivity. It is trusted by top firms and enhances document quality.",BriefCatch,"BriefCatch refines documents, improves writing, and boosts productivity by reducing editing time and catching errors in MS Word.",AI Legal Assistants & Productivity Tools,Document editing and error detection in legal writing,Reduces editing time and improves the quality of legal documents by catching errors and providing writing suggestions.,Private practice; Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,Mainstream / Proven,,Desktop / Local Application,Professional Services,English only,,,,,SOC 2 (Type I or II),,BriefCatch is praised for improving writing quality and reducing editing time.,,https://briefcatch.com,
BRYTER GmbH,"BRYTER is an AI productivity suite for legal work, made actionable through rule-based workflows.",BRYTER,"BRYTER is an AI and no-code platform built for Legal and Compliance, offering workflows to solve specific legal tasks end-to-end.",AI Legal Assistants & Productivity Tools,"Document automation,compliance workflows,and AI-based data extraction.","Automates legal processes end-to-end, enhancing efficiency and reducing errors in legal and compliance tasks.",Corporate legal; Private practice; Compliance & Risk Teams,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics; AI Integration / Orchestration Layer,,Enterprise Custom Quote,Yes,Growing Adoption,Moderate,Cloud (SaaS),Corporate,,,,,,,,,,https://bryter.com,
"CallidusAI, Inc.",CallidusAI is a comprehensive legal tech generative AI platform designed to streamline various legal processes and enhance efficiency for legal professionals.,CallidusAI,"CallidusAI is a legal AI platform offering solutions for legal research, drafting, contract comparison, AI discovery, and more, designed to enhance productivity and efficiency for legal professionals.",AI Legal Assistants & Productivity Tools,"Legal research,document drafting,contract comparison,AI discovery",Streamlines legal processes and enhances efficiency for legal professionals.,Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,Azure,,GDPR Compliance (EU),$51K-$100K,CallidusAI is praised for its productivity and efficiency enhancements in legal processes.,,https://callidusai.com,[email protected]
CamoText LLC,CamoText provides offline anonymization software designed to protect data privacy by detecting and redacting sensitive text and metadata without using cloud storage or internet connectivity.,CamoText,"CamoText is an offline anonymization tool that uses NLP and custom algorithms to detect and redact sensitive information, ensuring compliance with privacy regulations like GDPR, CCPA, and HIPAA.","Compliance, Risk & Governance",Data anonymization and privacy compliance,"Protects data privacy by anonymizing sensitive information offline, ensuring compliance with privacy regulations.",Compliance & Risk Teams,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,Customer-Hosted / Private Cloud,One-Time Purchase / Perpetual License,Yes,Emerging / New Entrant,Very Easy,Desktop / Local Application,Other / Not Specified,English only,,,,,GDPR Compliance (EU),,,,https://camotext.ai,
Canotera,Israeli startup revolutionizing legal decision-making with AI-powered case prediction.,Canotera,"AI software that predicts the outcome of legal cases, providing data-powered insights for dispute resolution.","Litigation, Disputes & Investigations",Case prediction and dispute resolution,"Provides predictive clarity for legal case outcomes, enabling faster and more confident decision-making.",Corporate legal; Private practice,Experimental / early stage,,Yes,Predictive / Machine Learning (ML) Platforms,,Enterprise Custom Quote,Yes,Emerging / New Entrant,Complex,Cloud (SaaS),Other / Not Specified,,Israel,,,ISO 27001,,,,,https://canotera.com,
CarefulAI,,PriorArtAI,IP Protection in the Age of AI-Driven Innovation,"Intellectual Property, Technology & Data",,IP Protection in the Age of AI-Driven Innovation,,,,Yes,,,,,,,,Other / Not Specified,,,,,,,,,,https://www.carefulai.com,
Case Compass,"Case Compass is a smart-intake platform built exclusively for high-volume plaintiff firms, designed to turn inquiries into qualified leads and signed retainers with speed and precision.",Case Compass,Case Compass is a smart-intake platform that automates client qualification and enhances efficiency by generating documents and executing e-signatures.,"Matter, Workflow & Intake Management",Smart-intake for plaintiff firms,Automates client qualification and enhances efficiency in converting inquiries into qualified leads and signed retainers.,Private practice,,,Yes,,,,Yes,Growing Adoption,,Cloud (SaaS),Other / Not Specified,,,,,,,,,,https://www.casecompass.io,
CaseFox Inc.,"CaseFox is a cloud-based software designed to help attorneys, accountants, consultants, and other professionals with timekeeping, billing, invoicing, trust accounting, case note and document management, client management, tracking billable/non-billable time, expenses, payments, etc.",CaseFox,"CaseFox is a cloud-based software designed to help attorneys, accountants, consultants, and other professionals with timekeeping, billing, invoicing, trust accounting, case note and document management, client management, tracking billable/non-billable time, expenses, payments, etc.","Matter, Workflow & Intake Management","Timekeeping,billing,invoicing,trust accounting,case note and document management","Simplifies timekeeping, billing, and case management for legal professionals.",Corporate legal; Private practice,,,No,,,Subscription (SaaS),Yes,,Very Easy,Cloud (SaaS),Other / Not Specified,English only,,,,,,,,,https://casefox.com,
CaseMark,CaseMark provides AI-powered legal document summaries to enhance legal efficiency.,CaseMark,AI-powered platform delivering concise summaries of complex legal texts.,"Litigation, Disputes & Investigations",Legal document summaries across the litigation lifecycle.,Provides concise summaries of legal documents to streamline legal processes.,Litigation / Disputes Teams; Court reporting and legal tech,Advanced,,Yes,Large Language Model (LLM) Platforms,,,Yes,Growing Adoption,,Cloud (SaaS),Other / Not Specified,,,,,,,,,,https://www.casemark.com,
Casepal,"Casepal is an enterprise-grade AI ecosystem designed for law firms and in-house legal teams, providing tools for legal problem-solving, drafting, review, and translations.",Casepal,"Casepal is a complete enterprise-grade AI ecosystem for legal professionals, offering tools for drafting, review, summarization, simplification, email, and translation.",AI Legal Assistants & Productivity Tools,"Drafting,review,summarization,and translation tools for legal professionals.","Enhances legal workflows by providing AI tools for drafting, review, and translation, saving time and improving efficiency.",Corporate legal; Private practice,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,,,,,Cloud (SaaS),Corporate,English + Limited Other Languages,,,,,,,"Casepal has been described as a helpful tool for daily legal practice, impacting workflows positively and providing direct paths to legal solutions.",,https://www.casepal.co,
Caseway,"Caseway provides AI-driven legal research assistance, offering instant legal insights for law firms and non-lawyers.",Caseway,"Caseway is an AI-driven legal research assistant that provides instant research, document review, and creation for legal professionals and non-lawyers.",Legal Research & Insights,AI-driven legal research and document review,"Provides instant legal insights and research, reducing time and errors in legal processes.",Corporate legal; Private practice,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,<$10K,Positive reviews from legal professionals highlighting time savings and efficiency.,,https://caseway.ai,Email: [email protected]
Catylex,Catylex is a contract analytics solution designed to extract and optimize contract data using ensemble AI.,Catylex Contract Analytics,"Catylex Contract Analytics is a solution that uses AI to extract insights from legal contracts, identifying key terms and clauses.",Contracting & Document Automation,Contract data extraction and analysis,Extracting and analyzing contract data to optimize contract management processes.,Corporate legal; Legal Operations Professionals,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Predictive / Machine Learning (ML) Platforms,,Subscription (SaaS),Yes,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,"520 White Plains Road Suite 500 Tarrytown, NY 10591",,,,,,Positive feedback on contract data quality and industry knowledge.,,https://www.catylex.com,"info@catylex.com, support@catylex.com"
Cequence,"Cequence is a leader in AI-powered contract management, offering solutions to streamline workflows, automate tasks, and enhance compliance and analytics.",Cequence Contract Management Solution,"An AI-powered contract management solution that streamlines workflows, automates tasks, and enhances compliance and analytics.",Contracting & Document Automation,"Contract lifecycle management,obligation tracking,and analytics.","Streamlines contract management processes, automates tasks, and enhances compliance and analytics.",Corporate legal; Contract Management Teams / Procurement,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics; Recommendation & Decision Support Systems,,Subscription (SaaS),,Growing Adoption,Moderate,Cloud (SaaS),Corporate,English only,,,,,,,,,https://cequence.io,
CircleUp Technologies Pty Ltd,,GoCircl,An application that empowers people to review and complete auditor circle-ups or similar tasks.,,,Facilitates the review and completion of auditor circle-ups.,,Experimental / early stage,Australia,No,,,,,Emerging / New Entrant,,Cloud (SaaS),Other / Not Specified,,"Queensland, Australia",,,,,,,,https://www.gocircl.app,
